epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,9847.37,0.52861,3.45482,0.29793,0.52687,1.09533,0.93735,0.88377,0.95634,0.84939,0.82134,0.75914,0.75295,0.47666,0.49692,2.82077,0.25907,0.45184,0.93925,0.005149,0.005149,0.005149
51,10044.1,0.5231,3.44059,0.29911,0.52779,1.0927,0.91859,0.8983,0.95841,0.85221,0.83313,0.75488,0.75684,0.47991,0.49187,2.80044,0.2628,0.45464,0.93481,0.00505,0.00505,0.00505
52,10241.5,0.5143,3.3322,0.29618,0.51426,1.08238,0.94059,0.88286,0.95654,0.85247,0.83257,0.76425,0.74651,0.46796,0.48999,2.8038,0.26157,0.45178,0.93483,0.004951,0.004951,0.004951
53,10437.6,0.5132,3.33651,0.29389,0.51164,1.08348,0.93711,0.88922,0.95726,0.85254,0.83023,0.76489,0.7638,0.49153,0.49741,2.77072,0.25758,0.45158,0.94047,0.004852,0.004852,0.004852
54,10633.5,0.51097,3.31851,0.29285,0.51305,1.08129,0.94013,0.88408,0.95854,0.85629,0.83515,0.76844,0.76584,0.48519,0.48636,2.73538,0.25557,0.44804,0.92741,0.004753,0.004753,0.004753
55,10831.1,0.50812,3.31749,0.29373,0.5119,1.07752,0.93735,0.88627,0.95825,0.85481,0.83235,0.76368,0.75907,0.4842,0.48615,2.74859,0.25475,0.44498,0.92472,0.004654,0.004654,0.004654
56,11026.9,0.50425,3.31946,0.29274,0.50558,1.08083,0.9359,0.89285,0.95934,0.85705,0.83261,0.77125,0.76331,0.49087,0.4771,2.70523,0.25346,0.4351,0.91709,0.004555,0.004555,0.004555
57,11222.9,0.50418,3.25354,0.29168,0.49838,1.07414,0.94719,0.88761,0.96067,0.85918,0.84173,0.76958,0.75649,0.48742,0.48337,2.69876,0.25532,0.42931,0.9245,0.004456,0.004456,0.004456
58,11421.5,0.49767,3.26696,0.28957,0.50044,1.0737,0.94575,0.89038,0.96072,0.85898,0.84183,0.77325,0.76746,0.49601,0.47424,2.66768,0.25348,0.4304,0.91718,0.004357,0.004357,0.004357
59,11618,0.49612,3.22976,0.28931,0.49679,1.07258,0.93743,0.89557,0.9612,0.86163,0.83553,0.77662,0.76987,0.49966,0.47561,2.68105,0.25221,0.43064,0.91453,0.004258,0.004258,0.004258
